order_id,orderrad_id,orderdatum,leveransdatum,produkt_sku,produktnamn,kategori,antal,pris_per_enhet,region,kundtyp,betalmetod,kund_id,leveransstatus,recension_text,recensionsdatum,betyg
ORD-2024-00001,ORD-2024-00001-1,2024-05-19,2024-05-22,SKU-WC001,Webbkamera HD,Tillbehör,1,SEK 799,Uppsala,Privat,Kort,KND-53648,Levererad,,,
ORD-2024-00002,ORD-2024-00002-1,2024-12-02,5 december 2024,SKU-HB001,USB-C Hub 7-port,Tillbehör,1,549.00,Göteborg,Privat,Swish,KND-84095,Levererad,,,
ORD-2024-00003,ORD-2024-00003-1,2024-12-31,2025-01-03,SKU-SD001,Extern SSD 1TB,Lagring,1,1199.00,,Företag,Faktura,KND-91748,Levererad,Stämmer inte överens med produktbeskrivningen.,2025-01-12,2
ORD-2024-00003,ORD-2024-00003-2,2024-12-31,2025-01-03,SKU-SD002,Extern SSD 500GB,Lagring,10,699 kr,Stockholm,Företag,FAKTURA,KND-91748,Mottagen,"Leveransen tog lite längre än utlovat, men produkten är ok.",2025-01-14,3
ORD-2024-00003,ORD-2024-00003-3,2024-12-31,2025-01-03,SKU-MS001,Trådlös Mus X1,Tillbehör,1,399.00,Stockholm,Företag,Faktura,KND-91748,,,,
ORD-2024-00004,ORD-2024-00004-1,2024-04-22,2024-04-26,SKU-WC001,Webbkamera HD,Tillbehör,1 st,799.00,Örebro,Privat,Faktura,KND-95459,LEVERERAD,,,
ORD-2024-00005,ORD-2024-00005-1,2024-07-01,2024-07-05,SKU-HB001,USB-C Hub 7-port,Tillbehör,10,549.00,örebro,FÖRETAG,Faktura,KND-32599,Levererad,,,
ORD-2024-00005,ORD-2024-00005-2,2024-07-01,2024-07-05,SKU-HS001,Headset Pro ANC,Ljud,3,1899.00,Örebro,Företag,FAKTURA,KND-32599,Levererad,Medelmåttig upplevelse.,2024-07-12,3
ORD-2024-00005,ORD-2024-00005-3,2024-07-01,2024-07-05,SKU-KB002,Kompakt Tangentbord Mini,Tillbehör,2,599.00,Örebro,Företag,Faktura,KND-32599,Levererad,,,
ORD-2024-00005,ORD-2024-00005-4,2024-07-01,2024-07-05,SKU-MS001,Trådlös Mus X1,Tillbehör,3,399.00,Örebro,Företag,Faktura,KND-32599,Levererad,,,
ORD-2024-00006,ORD-2024-00006-1,2024-03-10,2024-03-12,SKU-MN001,"Bildskärm 27"" UHD",Bildskärmar,2,4999.00,Stockholm,Privat,Faktura,KND-60466,Levererad,Prisvärt och bra kvalitet. Kommer köpa igen.,2024-03-19,4
ORD-2024-00007,ORD-2024-00007-1,2024-06-16,2024-06-20,SKU-MN003,"Bildskärm 32"" Curved",Bildskärmar,2,5999.00,Orebro,PRIVAT,Swish,KND-69810,Levererad,,,
ORD-2024-00008,ORD-2024-00008-1,2024-08-07,2024-08-14,SKU-WC001,Webbkamera HD,Tillbehör,1,799.00,Norrland,Privat,Swish,KND-76965,LEVERERAD,Dålig kundservice när jag försökte reklamera.,2024-08-24,1
ORD-2024-00008,ORD-2024-00008-2,2024-08-07,2024-08-14,SKU-LP003,Laptop Gaming X,Datorer,1,18999.00,Norrland,B2C,Swish,KND-76965,Levererad,För dyrt för vad man får.,2024-08-21,2
ORD-2024-00009,ORD-2024-00009-1,2024-06-10,2024-06-12,SKU-KB001,Mekaniskt Tangentbord K7,Tillbehör,1,1299.00,,Företag,Faktura,KND-87518,Levererad,,,
ORD-2024-00009,ORD-2024-00009-2,2024/06/10,2024-06-12,SKU-WC001,Webbkamera HD,Tillbehör,2,799.00,Stockholm,Företag,Faktura,KND-87518,Levererad,Snabb leverans och produkten är fantastisk!,2024-06-15,5
ORD-2024-00009,ORD-2024-00009-3,2024-06-10,2024-06-12,SKU-WC001,Webbkamera HD,Tillbehör,2,799.00,Stockholm,Företag,Faktura,KND-87518,Levererad,,,
ORD-2024-00010,ORD-2024-00010-1,2024-10-26,2024-10-30,SKU-LP001,Laptop Pro 15,Datorer,1,14999.00,Linköping,Privat,Swish,KND-41816,Levererad,,,
ORD-2024-00011,ORD-2024-00011-1,2024-07-26,2024-07-28,SKU-SD001,Extern SSD 1TB,Lagring,1 st,1199.00,Stockholm,Privat,Swish,KND-65290,Levererad,,,
